,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29
0,0.0,0.008725933730602264,0.006527136079967022,0.005887290462851524,0.004618895705789328,0.003285221289843321,0.0026896593626588583,0.002498181536793709,0.00234202784486115,0.002232286147773266,0.002096377545967698,0.002486312994733453,0.002653338946402073,0.003070015460252762,0.003890817053616047,0.004637478850781918,0.005405360367149115,0.006335703190416098,0.008111296221613884,0.009605568833649158,0.011050514876842499,0.013410563580691814,0.018102142959833145,0.021702712401747704,0.030850470066070557,0.04178346320986748,0.0661608949303627,0.16375315189361572,7.080663204193115
1,0.0,0.007496247999370098,0.0059624104760587215,0.0054944404400885105,0.004427767358720303,0.003178728511556983,0.002753979293629527,0.0025366260670125484,0.0023881772067397833,0.002237176289781928,0.002081769984215498,0.002562305424362421,0.002708521205931902,0.00307678896933794,0.003957838285714388,0.00450926786288619,0.0053720129653811455,0.006224320735782385,0.008132782764732838,0.010148143395781517,0.011418760754168034,0.013783528469502926,0.01850256882607937,0.022628813982009888,0.03326749429106712,0.04366099834442139,0.06662389636039734,0.1684103161096573,7.531553745269775
2,0.0,0.009035106748342514,0.006890110205858946,0.006260608788579702,0.005086931400001049,0.0036283039953559637,0.00295280572026968,0.0028047882951796055,0.0026487084105610847,0.0024740539956837893,0.0022647723089903593,0.0026406366378068924,0.002803911454975605,0.0031437210272997618,0.004198696464300156,0.004628586117178202,0.005475958343595266,0.006464221514761448,0.008218844421207905,0.009810137562453747,0.010352670215070248,0.0136405685916543,0.017647553235292435,0.02144378423690796,0.030237846076488495,0.039488211274147034,0.06097737327218056,0.1301574558019638,5.622314453125
3,0.0,0.009113735519349575,0.006979447789490223,0.006283876486122608,0.004954851698130369,0.003505066968500614,0.002883404027670622,0.0026383872609585524,0.002496524481102824,0.0024130521342158318,0.0022033085115253925,0.002477632137015462,0.002715426729992032,0.0031620704103261232,0.003949423786252737,0.0046503180637955666,0.005639203824102879,0.006549435202032328,0.008281832560896873,0.009848360903561115,0.010836513713002205,0.014027762226760387,0.018424229696393013,0.02273281291127205,0.03237266466021538,0.0433926060795784,0.07072550058364868,0.13742166757583618,6.208415508270264
4,0.0,0.00974329188466072,0.007505293935537338,0.006687958259135485,0.00533528346568346,0.0038136246148496866,0.0031335854437202215,0.0028436367865651846,0.002693004673346877,0.002482049632817507,0.002310370095074177,0.0026719397865235806,0.002836784813553095,0.0032780382316559553,0.00391586497426033,0.004676069598644972,0.005451215896755457,0.00636603869497776,0.00820348970592022,0.010101272724568844,0.011085034348070621,0.013842439278960228,0.018150916323065758,0.02158946730196476,0.031216904520988464,0.03956751525402069,0.06528069823980331,0.12837515771389008,5.467207431793213
5,0.0,0.007429840043187141,0.00575444707646966,0.0052222395315766335,0.004213217180222273,0.002982782432809472,0.0024992271792143583,0.0023975702933967113,0.002286657691001892,0.002122590783983469,0.0019833026453852654,0.0025231605395674706,0.002640298567712307,0.003114177379757166,0.0038754648994654417,0.004652775824069977,0.005392805673182011,0.006747135426849127,0.008219542913138866,0.01025593001395464,0.01121867448091507,0.014108076691627502,0.018705010414123535,0.022791413590312004,0.03408082574605942,0.043482232838869095,0.07034311443567276,0.1534689962863922,7.950774192810059
6,0.0,0.007367599755525589,0.005812825169414282,0.005291964393109083,0.004168972373008728,0.0029726463835686445,0.0025648183654993773,0.0024635745212435722,0.0023544069845229387,0.0021916076075285673,0.002025172347202897,0.0025262085255235434,0.0026236458215862513,0.003063277341425419,0.0038556414656341076,0.004552727099508047,0.005272838287055492,0.006361921783536673,0.007807939313352108,0.00996031891554594,0.01085619069635868,0.01425784919410944,0.018924737349152565,0.022582588717341423,0.03182389959692955,0.0431554839015007,0.06820821017026901,0.1498517543077469,7.053420543670654
7,0.0,0.009887165389955044,0.007515874691307545,0.006630050949752331,0.005293130874633789,0.003793228417634964,0.0032442533411085606,0.002987055340781808,0.002865722868591547,0.0027004664298146963,0.0024006024468690157,0.0026812974829226732,0.0029080749955028296,0.003330061212182045,0.004176045767962933,0.00471904780715704,0.005727795884013176,0.006477390415966511,0.00828574225306511,0.010142693296074867,0.011178644374012947,0.013819966465234756,0.01816963218152523,0.02221684344112873,0.03128978610038757,0.04016905277967453,0.06244500353932381,0.11967922747135162,6.199193477630615
8,0.0,0.009951065294444561,0.007638988085091114,0.006872061174362898,0.005481545347720385,0.0039265877567231655,0.0032011279836297035,0.002872203243896365,0.0027568680234253407,0.002653532661497593,0.0023469487205147743,0.0026480872184038162,0.0028454437851905823,0.0032313186675310135,0.004054815974086523,0.004688629414886236,0.005801181774586439,0.006961475592106581,0.008351466618478298,0.010097871534526348,0.011823533102869987,0.014525463804602623,0.019638584926724434,0.02460087276995182,0.032707132399082184,0.043275248259305954,0.06780644506216049,0.15087758004665375,6.75021505355835
9,0.0,0.009438025765120983,0.007134770043194294,0.006462767254561186,0.005178526975214481,0.0036841670516878366,0.0030224844813346863,0.002793236868456006,0.002703654346987605,0.0024058723356574774,0.0022301524877548218,0.00259296759031713,0.00280414754524827,0.0031628275755792856,0.004066708032041788,0.004698568489402533,0.005442442372441292,0.006538239773362875,0.00792143028229475,0.009876131080091,0.010840502567589283,0.013565314933657646,0.01794412173330784,0.020699283108115196,0.030213505029678345,0.04113636910915375,0.061459433287382126,0.12543612718582153,5.26395320892334
10,0.0,0.008960348553955555,0.0068913050927221775,0.006298606283962727,0.005114777013659477,0.0036673129070550203,0.0030676652677357197,0.002825454343110323,0.002621039981022477,0.002449504565447569,0.0022207710426300764,0.0026038424111902714,0.002801506547257304,0.0031438139267265797,0.004057551268488169,0.004588231444358826,0.005384120624512434,0.006299219559878111,0.008265071548521519,0.010087233036756516,0.01091760490089655,0.013385877013206482,0.017379947006702423,0.02133665792644024,0.029591171070933342,0.040805406868457794,0.05987093597650528,0.11760829389095306,5.104755878448486
11,0.0,0.008951856754720211,0.006971977651119232,0.0063731614500284195,0.005133984610438347,0.003560068318620324,0.002935773227363825,0.002685168059542775,0.0025779653806239367,0.0023568354081362486,0.002173907356336713,0.0025576192419975996,0.0027000061236321926,0.003159938147291541,0.0038505929987877607,0.004547370132058859,0.005477292463183403,0.006671720650047064,0.008213652297854424,0.010003890842199326,0.010766458697617054,0.014133656397461891,0.01855495199561119,0.022600596770644188,0.03109307959675789,0.04034729301929474,0.062045518308877945,0.11376138776540756,4.759602069854736
12,0.0,0.008582092821598053,0.006865974050015211,0.006103867199271917,0.004973845090717077,0.0035660150460898876,0.002947151893749833,0.0027755338232964277,0.0026404638774693012,0.00244190264493227,0.002193411346524954,0.0026780718471854925,0.002771311439573765,0.003221993101760745,0.0040513318963348866,0.0047586578875780106,0.00553607102483511,0.0065435804426670074,0.008236091583967209,0.009906735271215439,0.011075432412326336,0.01377060916274786,0.0176206286996603,0.021987000480294228,0.030457578599452972,0.0408913679420948,0.06211848929524422,0.11287956684827805,5.032650470733643
13,0.0,0.0092956917360425,0.0071335528045892715,0.0065554785542190075,0.005242862738668919,0.003680795431137085,0.0030002854764461517,0.00271824118681252,0.00256983726285398,0.002391782822087407,0.00219151983037591,0.0025713208597153425,0.0027184663340449333,0.0030862274579703808,0.003878268413245678,0.004638846963644028,0.005628232844173908,0.006352185737341642,0.008186547085642815,0.010118321515619755,0.011108999140560627,0.013408415019512177,0.01897037960588932,0.022197872400283813,0.03277277573943138,0.0430251844227314,0.06456466019153595,0.12958493828773499,5.693483829498291
14,0.0,0.0092527586966753,0.007281953934580088,0.006542766932398081,0.005235380493104458,0.003742392174899578,0.0030294894240796566,0.002860122360289097,0.0027377577498555183,0.002505195327103138,0.002301793312653899,0.0025744049344211817,0.0027322163805365562,0.003263292135670781,0.004072490148246288,0.004654731135815382,0.005413931794464588,0.0065019517205655575,0.008399248123168945,0.009901179000735283,0.010786774568259716,0.013993704691529274,0.0193556547164917,0.023184169083833694,0.03311728686094284,0.04301920905709267,0.0659681186079979,0.1289922297000885,5.466101169586182
15,0.0,0.009650474414229393,0.007599194534122944,0.00671232258901,0.005453824531286955,0.003837347263470292,0.003074117936193943,0.0029067504219710827,0.0026902600657194853,0.0025432549882680178,0.002293531782925129,0.002649698406457901,0.0028134752064943314,0.00326597411185503,0.004056334495544434,0.004696181509643793,0.005591153632849455,0.006615981459617615,0.008497374132275581,0.010318745858967304,0.011004322208464146,0.014139738865196705,0.01911693625152111,0.02318735420703888,0.03261466324329376,0.04273878037929535,0.065520741045475,0.11913655698299408,4.639866352081299
16,0.0,0.009169981814920902,0.007125235162675381,0.006440648343414068,0.005079510156065226,0.0035704176407307386,0.0030755186453461647,0.0027963288594037294,0.0026508194860070944,0.002454685280099511,0.0021937231067568064,0.0025322306901216507,0.0027591323014348745,0.003178377402946353,0.003994554281234741,0.004510244354605675,0.005333627108484507,0.006394466385245323,0.008011469617486,0.009698139503598213,0.01085114385932684,0.013599621132016182,0.018086344003677368,0.021904954686760902,0.032751332968473434,0.041993096470832825,0.0672096312046051,0.13321585953235626,7.348839282989502
17,0.0,0.007850470952689648,0.006205442361533642,0.005546616856008768,0.0044129714369773865,0.0031105135567486286,0.0026502779219299555,0.0024949442595243454,0.0023365889210253954,0.002166781574487686,0.002007000148296356,0.0023950329050421715,0.002628002781420946,0.0030316361226141453,0.003902626456692815,0.004506468772888184,0.005513100419193506,0.006685435771942139,0.007978890091180801,0.009828672744333744,0.011096506379544735,0.013677548617124557,0.018697435036301613,0.02159196138381958,0.03340388089418411,0.0434318482875824,0.0715603232383728,0.1594901829957962,7.384382247924805
