,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29
0,0.0,0.04422314837574959,0.21242429316043854,0.5770251154899597,2.82747220993042,3.33124041557312,3.753187656402588,3.786055088043213,4.403283596038818,5.5856709480285645,6.9846720695495605,10.261481285095215,10.256316184997559,12.778973579406738,18.143766403198242,16.208791732788086,27.056440353393555,27.833864212036133,29.387392044067383,35.58393859863281,46.441680908203125,48.273597717285156,91.59039306640625,121.81922149658203,176.65951538085938,264.984130859375,350.84100341796875,483.5816650390625,633.5322265625
1,0.0,0.037791501730680466,0.18758535385131836,0.5377265810966492,2.646364450454712,3.1223790645599365,3.153263807296753,3.7838127613067627,3.842081308364868,5.076026439666748,5.926778316497803,8.878365516662598,8.753403663635254,11.084056854248047,14.454264640808105,14.180581092834473,20.15870475769043,22.460790634155273,24.813020706176758,24.503446578979492,33.54584503173828,42.18660354614258,68.67595672607422,101.41073608398438,145.54356384277344,206.7213134765625,320.5491638183594,478.50946044921875,675.3504028320312
2,0.0,0.05272567272186279,0.2539297342300415,0.6979249715805054,2.8260233402252197,3.4482474327087402,3.606020927429199,3.9267170429229736,4.457662105560303,6.079555034637451,8.107874870300293,11.418702125549316,11.239842414855957,15.21065902709961,20.645801544189453,21.082984924316406,32.56520080566406,34.86534118652344,34.02170181274414,40.29916000366211,47.38824462890625,54.55144500732422,84.30751037597656,111.78530883789062,162.4401397705078,236.0053253173828,349.6247863769531,492.8377380371094,630.0098876953125
3,0.0,0.051478806883096695,0.24642711877822876,0.7189512252807617,2.923008918762207,3.650212287902832,3.773754358291626,4.267243385314941,4.453237056732178,6.5016374588012695,8.857147216796875,11.823275566101074,11.563085556030273,16.17466163635254,23.042644500732422,22.49151611328125,34.35552215576172,36.686397552490234,34.005836486816406,42.476993560791016,56.949581146240234,64.72974395751953,112.76775360107422,147.78860473632812,207.8641357421875,337.20233154296875,455.7049560546875,640.2536010742188,892.653076171875
4,0.0,0.057066988199949265,0.31693464517593384,0.8000326156616211,3.297368288040161,3.9171783924102783,4.327252388000488,4.582332134246826,4.914857864379883,7.360678672790527,9.034201622009277,12.477469444274902,12.486002922058105,17.712554931640625,22.828325271606445,22.96550941467285,37.89297866821289,36.918174743652344,39.865299224853516,44.451210021972656,52.1944465637207,66.70889282226562,102.29740142822266,148.07762145996094,215.6367645263672,313.9185485839844,458.2677001953125,655.386962890625,899.4956665039062
5,0.0,0.0389358252286911,0.1916847676038742,0.5033571124076843,2.6324303150177,2.8847453594207764,3.129016637802124,3.3287858963012695,3.6588799953460693,4.944432258605957,6.057232856750488,8.312370300292969,8.696334838867188,11.304439544677734,13.523488998413086,13.843647956848145,20.568723678588867,21.780296325683594,20.739425659179688,25.79693031311035,37.324283599853516,44.950748443603516,68.85033416748047,98.31913757324219,145.96922302246094,222.7247772216797,298.08203125,493.205322265625,612.4039916992188
6,0.0,0.04113614186644554,0.20871110260486603,0.5236534476280212,2.7087321281433105,2.950654983520508,3.430723190307617,3.591848850250244,3.9753658771514893,5.4131574630737305,6.955441951751709,8.909608840942383,9.12655258178711,12.149996757507324,15.691736221313477,15.720076560974121,21.367015838623047,25.594676971435547,26.545330047607422,27.949296951293945,39.82756423950195,47.24715805053711,76.61542510986328,107.45462799072266,140.88772583007812,209.60693359375,321.47509765625,478.87139892578125,655.2542724609375
7,0.0,0.05852939933538437,0.2964610159397125,0.8447202444076538,3.251776933670044,4.191915512084961,4.476293563842773,4.71339225769043,5.239205360412598,7.582497596740723,9.052203178405762,14.767534255981445,13.427838325500488,18.61960220336914,23.946853637695312,25.896604537963867,42.09707260131836,44.136539459228516,45.246673583984375,50.48462677001953,65.10985565185547,75.87894439697266,93.48587799072266,159.91493225097656,225.8145751953125,355.58465576171875,482.4544677734375,677.3876342773438,930.6741943359375
8,0.0,0.06108719855546951,0.3265930116176605,0.9598482251167297,3.274548053741455,4.285517692565918,4.681064605712891,4.92610502243042,5.279167652130127,8.206548690795898,10.32093620300293,16.14150619506836,15.228596687316895,19.3100528717041,27.773000717163086,25.364219665527344,40.28390884399414,40.549503326416016,48.644439697265625,51.992225646972656,63.294395446777344,69.67186737060547,109.2110366821289,149.54937744140625,204.45974731445312,289.52374267578125,429.90008544921875,677.7449951171875,738.1015014648438
9,0.0,0.04899337515234947,0.26472359895706177,0.6998992562294006,2.847776174545288,3.404407501220703,3.6770131587982178,4.36811637878418,4.424010276794434,6.373258113861084,7.793984413146973,10.702998161315918,11.017539024353027,15.954818725585938,18.669679641723633,19.601852416992188,30.15753936767578,29.3188419342041,30.370298385620117,34.96229934692383,43.2044792175293,54.72196960449219,81.55819702148438,107.7794418334961,160.32217407226562,261.9795837402344,350.6855773925781,539.7203979492188,652.8339233398438
10,0.0,0.05014180764555931,0.24345062673091888,0.6521193981170654,2.7320568561553955,3.5764572620391846,3.8865420818328857,4.082833766937256,3.9918880462646484,6.060770034790039,7.264543533325195,11.034056663513184,10.62817668914795,15.069344520568848,21.30304718017578,20.705286026000977,27.033384323120117,29.6166934967041,34.500301361083984,36.42756271362305,42.9827995300293,50.76091003417969,76.90239715576172,112.36787414550781,163.16757202148438,264.9454650878906,361.40313720703125,545.2150268554688,642.8809814453125
11,0.0,0.05414871498942375,0.2662500739097595,0.6560613512992859,3.1264824867248535,3.751781940460205,3.6633615493774414,4.336225986480713,4.757437705993652,6.4737443923950195,8.257668495178223,10.648445129394531,11.737683296203613,15.465912818908691,21.725141525268555,21.267852783203125,31.870651245117188,35.09339141845703,34.56089782714844,35.447776794433594,45.46240234375,55.09633255004883,80.67437744140625,117.2655029296875,152.96786499023438,226.49172973632812,347.1022644042969,548.3504028320312,616.6116333007812
12,0.0,0.051273126155138016,0.24881723523139954,0.674605667591095,3.1965959072113037,3.5641086101531982,3.934918165206909,4.157617568969727,4.537097930908203,6.1975555419921875,8.380434036254883,12.07226276397705,11.552607536315918,14.616762161254883,20.181133270263672,20.446176528930664,31.97184181213379,32.4464111328125,33.608097076416016,39.18165969848633,51.77114486694336,61.744407653808594,86.57278442382812,130.84909057617188,173.35641479492188,268.94439697265625,400.95782470703125,631.5809326171875,659.6585083007812
13,0.0,0.05288444831967354,0.26822277903556824,0.7061758041381836,3.134878635406494,3.662381649017334,3.8904411792755127,4.23366641998291,4.7186713218688965,6.652502059936523,8.154394149780273,10.794166564941406,11.596822738647461,14.471125602722168,19.45714569091797,18.918983459472656,26.562387466430664,30.48734474182129,32.594539642333984,32.23807144165039,48.2493782043457,51.53888702392578,88.93824005126953,129.86427307128906,177.0149383544922,280.1567687988281,391.72882080078125,562.6409301757812,856.5693969726562
14,0.0,0.05754423141479492,0.2937079071998596,0.8228818774223328,3.2431640625,4.056098461151123,4.466205596923828,4.474514961242676,4.904026031494141,6.753163814544678,8.062152862548828,12.201963424682617,12.867805480957031,15.01308822631836,21.32663345336914,20.36293601989746,31.957998275756836,34.55202865600586,35.76382064819336,40.04810333251953,60.53188705444336,65.475341796875,123.02230072021484,166.4326629638672,252.5691375732422,365.1717834472656,534.8031616210938,707.9212646484375,946.5223999023438
15,0.0,0.06504001468420029,0.29302021861076355,0.8736975193023682,3.2359752655029297,4.140214920043945,4.232506275177002,4.899777412414551,4.892238616943359,7.403600215911865,8.958080291748047,13.739598274230957,13.332393646240234,18.54388427734375,24.353988647460938,23.27199363708496,39.73875045776367,38.15080261230469,41.25062561035156,49.61271286010742,56.0065803527832,66.55693817138672,87.2558364868164,117.71241760253906,159.35682678222656,227.65188598632812,330.5079345703125,529.7529907226562,546.9735107421875
16,0.0,0.053079571574926376,0.2690484821796417,0.7258933186531067,2.95841908454895,3.610356092453003,3.9567041397094727,4.196118354797363,4.570724010467529,6.6518049240112305,8.816611289978027,13.129223823547363,12.599054336547852,17.657176971435547,21.419273376464844,23.452436447143555,34.423095703125,37.008018493652344,36.18269729614258,40.03268814086914,55.956180572509766,69.42272186279297,115.3309097290039,158.71644592285156,211.36572265625,358.74072265625,512.8535766601562,688.2189331054688,919.9793090820312
17,0.0,0.040147699415683746,0.1961679309606552,0.4995233416557312,2.544325828552246,2.9784390926361084,3.253469467163086,3.581021547317505,3.8543620109558105,5.167648792266846,7.005029201507568,9.496736526489258,9.832256317138672,13.016440391540527,16.63057518005371,15.889383316040039,23.413305282592773,24.535024642944336,26.593751907348633,28.300785064697266,40.112728118896484,48.85060501098633,76.81602478027344,108.51985931396484,146.44029235839844,226.7552947998047,318.36328125,495.9330749511719,632.4503784179688
18,0.0,0.04965490847826004,0.27149075269699097,0.7137541770935059,3.0534157752990723,3.57148814201355,3.754723310470581,4.14032506942749,4.578766822814941,6.782751083374023,8.151226997375488,12.571115493774414,13.199976921081543,16.723909378051758,20.41817283630371,19.620798110961914,28.08509635925293,30.863325119018555,35.655391693115234,37.83823776245117,51.5020751953125,58.75340270996094,98.52517700195312,151.8112030029297,208.41903686523438,338.82257080078125,424.2481384277344,680.9112548828125,826.3516845703125
19,0.0,0.0511249415576458,0.22930897772312164,0.6289201378822327,2.9090449810028076,3.775470495223999,3.8273584842681885,4.183582782745361,4.317883014678955,6.553587436676025,7.6160783767700195,11.360528945922852,12.081829071044922,15.124600410461426,20.228046417236328,18.861801147460938,30.529239654541016,33.50761795043945,31.82248878479004,37.7509880065918,48.97602462768555,58.3729133605957,87.64481353759766,127.4771957397461,186.36172485351562,265.81903076171875,375.808837890625,621.7718505859375,673.1873168945312
20,0.0,0.05447947978973389,0.28102150559425354,0.7269042730331421,2.9265353679656982,3.6867904663085938,3.8359367847442627,4.1618571281433105,4.707653522491455,6.341105937957764,8.162331581115723,11.855152130126953,12.477592468261719,18.59349250793457,23.003074645996094,23.183801651000977,34.24823760986328,38.09839630126953,36.72979736328125,43.09019088745117,49.20109176635742,59.67219161987305,88.02617645263672,126.92416381835938,162.44085693359375,234.5030975341797,359.21759033203125,478.96099853515625,563.4473876953125
21,0.0,0.06892082840204239,0.3201524317264557,0.9450523257255554,3.571467399597168,4.217015266418457,4.552284240722656,4.978118419647217,5.3133392333984375,8.282644271850586,9.421573638916016,13.977221488952637,13.722681999206543,16.53731918334961,25.419816970825195,22.43754768371582,34.96387481689453,38.44781494140625,38.68601608276367,42.83519744873047,47.53841781616211,55.56841278076172,81.96446228027344,111.12474822998047,144.3622283935547,217.3159637451172,316.7923278808594,557.9909057617188,518.802001953125
22,0.0,0.05044889822602272,0.27325063943862915,0.7245004177093506,3.1531505584716797,3.752797842025757,4.015262603759766,4.059462070465088,4.820977687835693,6.299583435058594,8.184971809387207,11.541131973266602,12.46890640258789,15.479386329650879,21.99350929260254,19.229167938232422,28.776063919067383,29.895458221435547,32.58129119873047,32.08437728881836,47.291568756103516,51.372840881347656,76.59978485107422,101.18192291259766,143.14588928222656,224.17837524414062,313.174560546875,481.488037109375,571.6441650390625
23,0.0,0.05644851177930832,0.2735389471054077,0.7630332112312317,3.2297301292419434,4.168359756469727,4.539294719696045,4.730990409851074,5.116299152374268,7.325423240661621,9.112936019897461,12.981188774108887,14.096414566040039,16.106891632080078,22.614561080932617,23.028139114379883,34.48459243774414,35.8375244140625,38.87940216064453,39.10722732543945,57.2915153503418,64.15863800048828,111.96249389648438,156.87513732910156,195.04258728027344,309.7988586425781,434.3170166015625,658.5956420898438,900.9641723632812
24,0.0,0.0371040441095829,0.16701515018939972,0.47900864481925964,2.643890380859375,2.913662910461426,3.139153003692627,3.392037868499756,3.7915313243865967,5.121535778045654,5.818154335021973,7.986101150512695,8.6530179977417,10.491063117980957,14.141270637512207,14.811446189880371,22.452621459960938,22.47892189025879,25.23802375793457,27.842023849487305,38.49159622192383,42.667938232421875,65.7917709350586,100.25696563720703,138.5537567138672,218.8805694580078,306.5057067871094,456.5806579589844,607.7651977539062
25,0.0,0.03530673682689667,0.1568969488143921,0.44208192825317383,2.41654372215271,2.8950138092041016,2.9354922771453857,3.1739439964294434,3.400617837905884,4.682522773742676,5.66716194152832,7.751440048217773,7.941551208496094,10.26950454711914,12.010213851928711,12.693289756774902,17.251880645751953,17.80997657775879,19.047082901000977,21.055421829223633,28.845766067504883,32.45475769042969,56.862342834472656,73.92610168457031,107.11770629882812,168.4371337890625,239.35769653320312,390.6329650878906,531.7412109375
26,0.0,0.07618892192840576,0.35301509499549866,0.958870530128479,3.604914665222168,4.369804859161377,4.611713886260986,4.9687180519104,5.6822991371154785,8.728702545166016,10.448975563049316,15.780117988586426,15.313641548156738,19.33664321899414,26.213754653930664,24.11396026611328,38.611148834228516,38.688743591308594,42.298072814941406,44.65936279296875,55.93197250366211,69.4971923828125,96.1630859375,133.9953155517578,193.2236785888672,328.9609069824219,399.2911682128906,683.611083984375,841.82080078125
27,0.0,0.05649922415614128,0.28211718797683716,0.7382180094718933,3.1242921352386475,3.6485183238983154,4.1636457443237305,4.278004169464111,4.992369174957275,6.526373863220215,8.081949234008789,12.468950271606445,12.58456802368164,16.654571533203125,21.119415283203125,22.217910766601562,31.155231475830078,34.508792877197266,35.222877502441406,40.608360290527344,47.17740249633789,52.75197982788086,86.55730438232422,111.48161315917969,167.60194396972656,257.678955078125,339.0539855957031,535.4902954101562,578.5525512695312
28,0.0,0.07333450019359589,0.36055848002433777,0.9212606549263,3.6064116954803467,4.028441905975342,4.536036014556885,5.082138538360596,5.546609401702881,7.6808576583862305,10.999738693237305,15.434666633605957,15.143438339233398,21.60449981689453,29.669950485229492,29.649717330932617,44.73417663574219,50.65717315673828,50.616722106933594,53.92845916748047,69.21409606933594,78.74617767333984,119.78431701660156,151.78594970703125,198.49522399902344,285.04931640625,424.7498474121094,654.8471069335938,625.853271484375
29,0.0,0.050331782549619675,0.2918650507926941,0.6655012369155884,2.869608163833618,3.60626220703125,3.726215362548828,4.2618231773376465,4.459499359130859,6.642850875854492,8.06057071685791,12.655430793762207,12.079191207885742,15.546854019165039,22.04743003845215,21.382165908813477,30.48480224609375,34.81071853637695,37.125267028808594,41.902469635009766,49.266624450683594,59.06365203857422,102.14147186279297,126.28533172607422,165.31837463378906,274.96417236328125,413.06298828125,568.3029174804688,719.965576171875
