,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29
0,0.0,0.07841693609952927,0.20233163237571716,0.3870442807674408,0.7004409432411194,1.0587124824523926,1.7873555421829224,3.1625466346740723,5.006795883178711,10.874950408935547,11.664461135864258,15.22890853881836,18.39799690246582,28.01363754272461,46.912837982177734,62.8614616394043,103.53003692626953,114.81641387939453,129.28936767578125,137.50396728515625,215.7867889404297,276.4618835449219,435.51055908203125,696.6596069335938,950.9426879882812,1209.5345458984375,1639.705322265625,2825.4287109375,1766.587890625
1,0.0,0.06528162956237793,0.17008990049362183,0.3147858679294586,0.5825768709182739,0.9250725507736206,1.5530351400375366,2.6525180339813232,4.051299095153809,8.988242149353027,10.258999824523926,13.373592376708984,17.765825271606445,23.96912956237793,42.14957046508789,55.98240280151367,91.66231536865234,94.4011001586914,107.89178466796875,110.30158233642578,177.74513244628906,236.4490203857422,362.2590026855469,566.92822265625,861.06591796875,1043.8336181640625,1531.8070068359375,2194.383056640625,1681.3548583984375
2,0.0,0.08633658289909363,0.22191528975963593,0.4574142396450043,0.8042412400245667,1.2369670867919922,2.1222574710845947,3.472606897354126,5.232228755950928,11.26183795928955,11.715806007385254,16.193105697631836,20.0789852142334,30.477012634277344,53.37861251831055,64.98616790771484,110.00555419921875,106.81403350830078,115.02590942382812,128.09274291992188,196.76417541503906,258.66448974609375,397.493896484375,626.4686279296875,913.1304321289062,1160.28466796875,1582.9144287109375,2776.78369140625,1606.2469482421875
3,0.0,0.0839742049574852,0.2288086712360382,0.4400351643562317,0.8180854916572571,1.25497567653656,2.235980987548828,3.4406065940856934,5.758541107177734,12.830755233764648,13.16461181640625,17.040557861328125,22.74496078491211,31.63650894165039,53.70119857788086,70.81855010986328,106.58634185791016,109.20592498779297,131.7811279296875,140.56431579589844,192.31353759765625,241.83786010742188,361.5926208496094,525.6717529296875,848.4306640625,1014.4841918945312,1575.830322265625,2657.58251953125,1526.1873779296875
4,0.0,0.10936056822538376,0.2546655237674713,0.49581652879714966,0.9435628056526184,1.4422847032546997,2.6525886058807373,4.089228630065918,7.063372611999512,13.884645462036133,16.960607528686523,21.788869857788086,26.329296112060547,36.28660202026367,60.39117431640625,82.32547760009766,132.28126525878906,147.8477020263672,148.951171875,160.90182495117188,243.635009765625,325.2418212890625,529.218505859375,808.2794799804688,1113.6107177734375,1458.6878662109375,2048.615966796875,3333.09765625,2109.87646484375
5,0.0,0.06406063586473465,0.15072263777256012,0.29304465651512146,0.5767094492912292,0.7879049181938171,1.3806430101394653,2.052006244659424,3.5052926540374756,7.4909772872924805,8.332921981811523,11.963801383972168,16.05946922302246,20.694185256958008,38.842281341552734,52.14886474609375,75.05545043945312,78.9212875366211,83.58470153808594,94.7077865600586,155.73471069335938,207.38819885253906,324.9465026855469,509.209716796875,714.77734375,929.5609130859375,1414.5115966796875,2251.463134765625,1547.3397216796875
6,0.0,0.07359523326158524,0.17059828341007233,0.3116472363471985,0.6342478394508362,0.9570217132568359,1.5617269277572632,2.563164710998535,4.437047481536865,9.229307174682617,10.60352611541748,14.332053184509277,17.75745391845703,23.4482479095459,43.70109558105469,53.53083801269531,89.88809967041016,107.66377258300781,93.13228607177734,115.5048828125,187.3563232421875,238.8441619873047,401.7473449707031,578.89990234375,871.1268920898438,1104.5692138671875,1488.773193359375,2542.15966796875,1761.0078125
7,0.0,0.10832838714122772,0.29015132784843445,0.5513160824775696,1.035414695739746,1.6051619052886963,2.865010976791382,3.9771275520324707,7.089064598083496,14.405096054077148,17.770854949951172,22.303403854370117,27.187971115112305,39.60649490356445,65.65031433105469,82.03044128417969,127.56977844238281,142.10328674316406,150.57334899902344,179.28057861328125,263.09375,348.14532470703125,502.2462158203125,771.1480102539062,1093.464111328125,1593.5159912109375,1967.1771240234375,3718.645263671875,2233.758544921875
8,0.0,0.11061496287584305,0.2833898365497589,0.5268822312355042,1.0830209255218506,1.4248491525650024,2.616915464401245,4.3958964347839355,6.9090423583984375,14.35870361328125,18.12769317626953,23.31683921813965,28.991928100585938,39.83360290527344,75.17742919921875,85.68280792236328,127.88682556152344,140.34420776367188,146.17332458496094,177.7157440185547,271.5714416503906,331.8506774902344,513.6722412109375,798.3934326171875,1138.177001953125,1559.20458984375,2097.86279296875,3569.8720703125,1892.2464599609375
9,0.0,0.08616847544908524,0.2285110503435135,0.4290711283683777,0.8033524751663208,1.178063988685608,2.0131759643554688,3.536416530609131,5.319913387298584,12.07544231414795,13.458080291748047,17.646831512451172,19.731191635131836,29.44743537902832,48.4235954284668,67.13179779052734,97.44817352294922,110.53170776367188,120.18938446044922,132.96385192871094,195.02781677246094,276.77655029296875,395.78765869140625,686.5677490234375,918.8762817382812,1220.6842041015625,1654.8980712890625,2900.948974609375,1726.803466796875
