,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37
0,0.0,0.0033024894073605537,0.0184639859944582,0.05671887472271919,0.15464860200881958,0.41730859875679016,0.8544842600822449,2.186105489730835,3.0262770652770996,3.8324079513549805,4.352680683135986,4.963935852050781,5.644202709197998,8.349910736083984,10.02389907836914,11.434040069580078,11.909316062927246,12.882256507873535,17.003389358520508,17.7811222076416,23.388566970825195,26.07737159729004,26.829837799072266,36.860050201416016,46.59962844848633,79.91080474853516,108.87005615234375,133.2711944580078,172.24996948242188,242.0449981689453,300.1562194824219,487.4400329589844,616.71484375,923.5507202148438,1262.397216796875,3170.631591796875,93.29317474365234
1,0.0,0.0026189538184553385,0.01570390723645687,0.04728347063064575,0.1224241852760315,0.35818785429000854,0.7126757502555847,2.0618467330932617,2.6403815746307373,3.4878547191619873,4.003244876861572,4.473079681396484,4.810699462890625,7.236273765563965,8.389351844787598,9.735373497009277,10.719138145446777,11.515850067138672,13.474623680114746,14.979637145996094,19.740148544311523,23.350229263305664,23.531505584716797,30.210254669189453,45.05252456665039,78.741455078125,98.07212829589844,126.97333526611328,174.94894409179688,219.7330780029297,315.1127624511719,445.9429626464844,599.1218872070312,935.3864135742188,1198.3656005859375,3286.44970703125,88.17286682128906
2,0.0,0.003652208484709263,0.021816400811076164,0.062272727489471436,0.16623179614543915,0.4266012907028198,0.9091339111328125,2.170208692550659,3.1061060428619385,4.34624719619751,4.569326400756836,5.383906364440918,6.233197212219238,9.552692413330078,10.840047836303711,12.407699584960938,12.092187881469727,1445.9158935546875,1487.9136962890625,1420.881103515625,1397.55859375,1582.7923583984375,1521.9827880859375,1589.4532470703125,1481.4678955078125,1691.0040283203125,1610.8548583984375,1568.3095703125,1723.7943115234375,1660.34228515625,1740.850830078125,1902.41455078125,2175.97412109375,2407.8447265625,2876.361572265625,4158.74462890625,107.4737319946289
3,0.0,0.0037401863373816013,0.02199152484536171,0.0656810849905014,0.16865640878677368,0.4648267924785614,0.9811764359474182,2.3644211292266846,3.146721363067627,4.3575568199157715,4.89777946472168,5.734103202819824,6.333120346069336,10.299057006835938,11.630512237548828,12.896946907043457,14.214679718017578,15.610539436340332,18.722925186157227,19.7669620513916,25.978961944580078,29.77768898010254,28.970075607299805,40.068111419677734,57.02952194213867,99.37405395507812,117.55066680908203,164.08981323242188,228.03379821777344,292.62060546875,376.8313903808594,613.379638671875,836.7213134765625,1201.4835205078125,1531.851318359375,3977.16064453125,127.23986053466797
4,0.0,0.003927311394363642,0.023195510730147362,0.06989260762929916,0.17514342069625854,0.48030683398246765,1.0333596467971802,2.377497434616089,3.4334523677825928,4.544195652008057,4.7165303230285645,5.692668437957764,7.012783050537109,10.273630142211914,11.940011978149414,14.694633483886719,14.966626167297363,16.330289840698242,20.20539665222168,23.082958221435547,30.494403839111328,35.56019592285156,36.951805114746094,46.84018325805664,64.34246826171875,105.75358581542969,128.28395080566406,172.30111694335938,233.25,326.2012023925781,423.5096435546875,650.943603515625,875.076904296875,1240.84814453125,1798.671142578125,4851.23583984375,121.19474029541016
5,0.0,0.0030616200529038906,0.016249503940343857,0.047854065895080566,0.12651324272155762,0.3204615116119385,0.7030802369117737,1.9621381759643555,2.574977159500122,3.3398935794830322,3.766951322555542,4.477951526641846,4.816516876220703,7.166114807128906,9.16616439819336,9.357059478759766,10.529752731323242,11.386575698852539,13.923834800720215,15.881738662719727,20.598445892333984,22.506481170654297,24.58745574951172,30.52063751220703,43.9765625,74.42649841308594,93.36454010009766,110.38848114013672,167.03240966796875,232.4848175048828,280.4759521484375,447.7359619140625,574.5091552734375,859.95166015625,1230.3878173828125,3396.404052734375,94.01054382324219
6,0.0,0.003020781558007002,0.01625789701938629,0.046378351747989655,0.13595913350582123,0.3405141234397888,0.6879600882530212,1.9776763916015625,2.7337448596954346,3.2488179206848145,3.9466235637664795,4.4318528175354,4.869844436645508,7.383734703063965,8.547003746032715,9.475976943969727,10.06422233581543,377.9432067871094,371.0281982421875,350.24420166015625,369.4849548339844,370.3007507324219,395.4326477050781,381.7223205566406,374.2493896484375,389.5022888183594,435.1326599121094,472.8571472167969,498.6717224121094,573.5576171875,601.4583129882812,778.5484619140625,905.0765380859375,1244.321533203125,1600.7420654296875,3531.18115234375,84.84774017333984
7,0.0,0.004274384584277868,0.02530667372047901,0.07247437536716461,0.18467271327972412,0.5239176154136658,1.0393389463424683,2.3728137016296387,3.303091526031494,4.554137706756592,4.984613418579102,5.700263977050781,7.244375228881836,10.857028007507324,11.908615112304688,14.638603210449219,14.957545280456543,32.64973449707031,35.221160888671875,38.87256622314453,45.313480377197266,51.84223556518555,50.03239440917969,62.09859848022461,78.88601684570312,121.70836639404297,153.36053466796875,190.0376739501953,283.2750244140625,353.8908996582031,493.0472717285156,704.160400390625,909.7059326171875,1362.6026611328125,2016.382080078125,5298.076171875,150.94290161132812
8,0.0,0.004593204706907272,0.02658703923225403,0.07616665959358215,0.2063303142786026,0.5441561341285706,1.1455848217010498,2.668860912322998,3.6107685565948486,4.922299861907959,5.341155529022217,6.4535722732543945,7.865370273590088,12.107928276062012,14.478172302246094,16.087671279907227,15.981972694396973,1613.0130615234375,1491.34912109375,1548.02490234375,1572.60009765625,1486.4097900390625,1652.0198974609375,1640.632568359375,1654.5611572265625,1704.5611572265625,1573.39208984375,1767.451171875,1791.9495849609375,1864.0523681640625,2100.7890625,2077.94970703125,2414.819091796875,2837.3818359375,3525.527099609375,5797.0205078125,149.51048278808594
9,0.0,0.003483949927613139,0.021690716966986656,0.059939004480838776,0.17328770458698273,0.41442322731018066,0.9497060775756836,2.2152364253997803,2.986339569091797,4.028116226196289,4.4835100173950195,5.402332305908203,6.531168460845947,9.947250366210938,10.746268272399902,12.784235000610352,14.2328519821167,13.947178840637207,19.11163330078125,20.572628021240234,27.402616500854492,30.6629581451416,30.818931579589844,41.4245719909668,55.66142272949219,89.17416381835938,114.97969055175781,153.4075469970703,212.30938720703125,272.89520263671875,381.58935546875,588.9715576171875,723.5371704101562,1071.7957763671875,1423.2623291015625,4029.234130859375,107.9727554321289
