,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37
0,0.0,0.00020343689539004117,0.002381222089752555,0.004367037210613489,0.014721439220011234,0.04375625029206276,0.08046942949295044,1.1660971641540527,1.2639583349227905,1.3522576093673706,2.5433566570281982,3.678405284881592,4.8509521484375,10.482192039489746,12.487866401672363,18.895824432373047,28.885974884033203,40.078853607177734,80.77833557128906,125.44478607177734,216.94960021972656,272.3658447265625,327.89276123046875,501.5317077636719,694.1950073242188,1213.270751953125,1383.9541015625,1848.28369140625,2199.242919921875,3324.061767578125,3954.06396484375,6152.75439453125,7006.7744140625,9610.572265625,11985.5908203125,28991.939453125,970.0891723632812
1,0.0,0.0001905306417029351,0.002172860549762845,0.0041543273255229,0.013442513532936573,0.040532976388931274,0.07035231590270996,1.1723835468292236,1.265885591506958,1.372779369354248,2.2710700035095215,3.1408560276031494,4.225372314453125,8.904192924499512,11.549012184143066,15.95311450958252,23.717552185058594,40.59389877319336,67.11804962158203,103.10314178466797,191.35182189941406,224.98736572265625,288.0491943359375,350.218994140625,606.0042724609375,989.3385009765625,1170.7410888671875,1420.0242919921875,1854.3970947265625,2583.187744140625,3399.603759765625,4657.9423828125,6318.66552734375,7439.64306640625,10164.3271484375,24865.169921875,814.4798583984375
2,0.0,0.00022134465689305216,0.002791701816022396,0.005101518239825964,0.018027087673544884,0.04776785895228386,0.08251015096902847,1.137769103050232,1.2623227834701538,1.5021628141403198,2.4867570400238037,3.6178250312805176,5.484386920928955,11.04714298248291,14.296465873718262,19.560693740844727,29.728408813476562,25830.48828125,26812.44921875,23050.8046875,25541.365234375,25914.125,26692.54296875,23107.29296875,24956.7265625,25530.8046875,24996.439453125,25804.154296875,23593.62109375,24669.224609375,24003.65625,23447.484375,25348.728515625,28125.888671875,28920.5859375,24947.970703125,679.8937377929688
3,0.0,0.00022824492771178484,0.0027853637002408504,0.005522172432392836,0.01762741059064865,0.05634073540568352,0.09384921938180923,1.2110005617141724,1.3330678939819336,1.4806597232818604,2.5936529636383057,3.730055332183838,5.6821208000183105,11.423921585083008,14.595280647277832,20.533418655395508,33.39847946166992,47.43080520629883,79.05184936523438,125.79415893554688,246.79891967773438,262.9248046875,318.728271484375,495.5927734375,745.50341796875,1222.8773193359375,1623.4378662109375,1689.699951171875,2377.12109375,3022.981689453125,3730.30615234375,5219.537109375,6568.392578125,8275.9130859375,11419.5576171875,28573.18359375,844.9738159179688
4,0.0,0.00026137346867471933,0.003063095733523369,0.00561324879527092,0.020122002810239792,0.061832599341869354,0.09381643682718277,1.1903116703033447,1.2039433717727661,1.543513298034668,2.9574029445648193,4.296022891998291,5.897283554077148,12.83399486541748,17.414836883544922,23.519023895263672,35.29781723022461,58.34492492675781,105.19200134277344,153.8734588623047,264.572998046875,339.0884094238281,417.5304870605469,599.4527587890625,868.0703125,1457.9669189453125,1838.8455810546875,2266.89501953125,2626.259033203125,3855.92138671875,4485.05517578125,6542.7451171875,8172.81884765625,8895.32421875,13370.791015625,36043.66796875,1024.277099609375
5,0.0,0.00018889135390054435,0.0021999517921358347,0.0039866711013019085,0.012220192700624466,0.036306366324424744,0.05937343090772629,1.1885384321212769,1.1607989072799683,1.4564249515533447,2.042656183242798,2.9061391353607178,3.7654812335968018,7.981278896331787,9.313414573669434,13.859024047851562,20.96514129638672,34.65993118286133,60.28806686401367,84.48344421386719,142.74697875976562,197.25335693359375,232.0,334.8541259765625,493.9035949707031,841.351318359375,1190.49755859375,1366.7281494140625,1634.311767578125,2586.241455078125,3182.85107421875,4519.97900390625,5828.8671875,7601.4541015625,8649.080078125,22310.814453125,811.6723022460938
6,0.0,0.00019244028953835368,0.0021491246297955513,0.004163213074207306,0.01260961964726448,0.0367790088057518,0.06203579157590866,1.1908535957336426,1.2677993774414062,1.2905718088150024,2.1573827266693115,3.0955817699432373,3.957529067993164,8.320744514465332,11.388972282409668,16.368350982666016,25.34562873840332,341.2147521972656,366.57611083984375,424.9930419921875,488.2793273925781,523.5069580078125,566.9343872070312,656.9730224609375,915.0578002929688,1259.3031005859375,1533.9306640625,1809.2310791015625,2368.700927734375,3147.904541015625,3855.443115234375,5307.68408203125,7134.71044921875,8219.9365234375,11869.578125,27186.1015625,903.531982421875
7,0.0,0.00027799923554994166,0.003354740794748068,0.006221217568963766,0.02069629728794098,0.06141781434416771,0.10305668413639069,1.2531449794769287,1.3497132062911987,1.6350427865982056,3.017357349395752,4.703570365905762,5.959567070007324,13.096123695373535,17.159624099731445,24.72930908203125,38.51629638671875,120.13384246826172,173.19664001464844,212.4859161376953,376.4801330566406,450.2056579589844,547.5975952148438,712.7731323242188,1092.54931640625,1644.24267578125,1932.14306640625,2525.440673828125,2893.620849609375,3930.236083984375,4824.11279296875,7002.50244140625,8265.2255859375,10003.6435546875,13730.3330078125,32650.939453125,1179.56396484375
8,0.0,0.00028437949367798865,0.00345650315284729,0.006391141097992659,0.02112986519932747,0.05963561683893204,0.10038048028945923,1.2656513452529907,1.2318044900894165,1.6602447032928467,2.7467432022094727,4.625330448150635,6.042961120605469,13.564959526062012,17.746814727783203,22.59316062927246,39.04670715332031,269.37481689453125,327.2406921386719,387.2779541015625,526.0684814453125,582.226318359375,649.2203979492188,888.9533081054688,1139.2886962890625,1707.8992919921875,2099.06103515625,2405.603271484375,2978.265380859375,3728.95263671875,4817.072265625,6489.16650390625,7859.22802734375,9685.7724609375,13183.4765625,32435.830078125,898.0948486328125
9,0.0,0.00021650166308972985,0.0026621073484420776,0.005328742787241936,0.01643485575914383,0.053235311061143875,0.08923779428005219,1.2159106731414795,1.4051417112350464,1.5120561122894287,2.3988254070281982,3.811406373977661,5.472901821136475,11.465076446533203,14.684002876281738,19.808435440063477,29.764402389526367,46.493961334228516,82.02983093261719,122.29852294921875,214.86595153808594,275.718505859375,330.591796875,481.22021484375,675.5238037109375,1191.0848388671875,1412.6773681640625,1837.0794677734375,2043.0218505859375,2896.61669921875,3463.981201171875,4571.1337890625,6242.3310546875,7588.791015625,10533.0322265625,23106.4921875,746.6031494140625
10,0.0,0.00022868001542519778,0.0025518089532852173,0.0049125635996460915,0.018031515181064606,0.051233191043138504,0.08436696231365204,1.226652979850769,1.2265570163726807,1.5608487129211426,2.4431188106536865,3.743967056274414,5.775310039520264,11.117087364196777,14.107702255249023,20.676328659057617,32.5406608581543,53.45463562011719,88.82009887695312,128.98141479492188,226.22714233398438,281.8466796875,350.7713928222656,506.5928955078125,808.6826171875,1174.15234375,1516.966064453125,1941.1883544921875,2477.280517578125,2987.63720703125,4072.9365234375,5633.80517578125,7502.79150390625,8647.908203125,11610.93359375,29591.353515625,895.0344848632812
11,0.0,0.00024412288621533662,0.0029335429426282644,0.005641153547912836,0.01810459978878498,0.05292843282222748,0.09435020387172699,1.2307270765304565,1.2663459777832031,1.6741195917129517,2.5294320583343506,3.9951400756835938,5.212817668914795,12.293106079101562,15.996612548828125,20.247100830078125,32.35284423828125,27996.509765625,26102.37890625,25123.62109375,25787.720703125,26405.78515625,27290.4609375,27885.669921875,28026.76171875,26485.212890625,29099.93359375,27389.23046875,27891.669921875,28309.400390625,25632.14453125,30940.95703125,31473.673828125,32768.703125,32538.689453125,31600.58984375,1103.9195556640625
12,0.0,0.00023213743406813592,0.0027971207164227962,0.005150800105184317,0.01737125776708126,0.0492878183722496,0.08246222138404846,1.105295181274414,1.2944591045379639,1.550454020500183,2.5942704677581787,3.9161157608032227,5.363616466522217,11.296807289123535,15.541911125183105,20.801361083984375,35.620662689208984,51.97259521484375,87.87902069091797,132.8816680908203,233.7291717529297,313.27923583984375,395.3244934082031,564.2052612304688,864.1821899414062,1527.57080078125,1716.8145751953125,2461.28662109375,2822.133544921875,3691.59326171875,4478.33154296875,6440.42724609375,8791.4091796875,11751.7421875,15093.201171875,34766.67578125,1048.033935546875
13,0.0,0.0002342965453863144,0.0031082951463758945,0.0058266292326152325,0.018022943288087845,0.056000567972660065,0.08813480287790298,1.17132568359375,1.2947101593017578,1.5890933275222778,2.8703598976135254,4.104325294494629,5.596253871917725,12.077808380126953,15.450331687927246,22.186742782592773,32.529808044433594,58.37449645996094,105.72206115722656,144.62315368652344,243.1893310546875,357.86383056640625,390.5713806152344,648.7612915039062,944.3424072265625,1502.288818359375,1784.611328125,2152.74658203125,2932.947021484375,4015.904296875,4776.6044921875,6851.09912109375,8571.892578125,10942.177734375,14316.091796875,37294.2421875,1158.757568359375
14,0.0,0.00026261035236530006,0.0031402246095240116,0.006245814263820648,0.01867697201669216,0.05531162768602371,0.08846241235733032,1.200038194656372,1.357155203819275,1.6454455852508545,2.80841326713562,4.417099952697754,5.949254035949707,12.98064136505127,16.075393676757812,23.699356079101562,37.60447311401367,2953.279541015625,2986.021240234375,2862.64990234375,2913.4765625,3450.96875,2997.50146484375,3260.70361328125,3577.271240234375,4002.631591796875,4430.857421875,4554.7080078125,4579.03125,6023.7880859375,6857.0107421875,8535.9150390625,9437.3447265625,12026.3701171875,16617.998046875,36711.296875,1140.8260498046875
