,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37
0,0.0,8.505616278853267e-05,0.00021855367231182754,0.00045141467126086354,0.0008725468069314957,0.0017433513421565294,0.0029444415122270584,4.031421661376953,3.660172462463379,4.232681751251221,4.1238813400268555,4.085992336273193,4.706757545471191,4.473601818084717,4.436882019042969,4.260799884796143,4.101406574249268,4.737244129180908,4.893430709838867,4.714463233947754,4.7700419425964355,4.977081298828125,5.13687801361084,5.469820022583008,5.219176769256592,5.236047744750977,5.575650691986084,6.009624481201172,7.024757385253906,7.907609939575195,8.559730529785156,10.064541816711426,12.0972261428833,15.422657012939453,19.903703689575195,28.904048919677734,0.38148045539855957
1,0.0,7.437427848344669e-05,0.00021607450617011636,0.0004395940632093698,0.0008151814108714461,0.0016121428925544024,0.0027312629390507936,4.417661190032959,4.294620990753174,4.624842166900635,3.9313623905181885,4.256572246551514,4.744400501251221,4.449967861175537,4.366192817687988,4.3706536293029785,4.289599895477295,5.051244258880615,4.873929500579834,4.6778035163879395,5.130802154541016,4.932255268096924,4.807560920715332,5.414201259613037,5.825816631317139,5.798802852630615,6.032069206237793,6.452375888824463,7.221309661865234,8.010835647583008,8.568185806274414,9.999646186828613,12.203805923461914,15.251741409301758,20.09351921081543,30.62944984436035,0.4545357823371887
2,0.0,9.637219045544043e-05,0.0002683577185962349,0.0005400828667916358,0.001036901492625475,0.0020503783598542213,0.0034032040275633335,4.3062052726745605,3.8883156776428223,4.174274444580078,4.016787052154541,4.208111763000488,4.467793941497803,4.310191631317139,4.4289140701293945,4.320013046264648,4.493476867675781,21.079416275024414,20.463787078857422,21.288522720336914,22.302595138549805,19.899993896484375,21.444599151611328,20.83236312866211,22.7868709564209,20.661481857299805,21.603742599487305,23.46702003479004,23.080427169799805,24.701923370361328,26.119892120361328,26.228282928466797,28.41542625427246,32.419532775878906,37.33372116088867,30.929161071777344,0.4440230131149292
3,0.0,9.725161362439394e-05,0.0002744688536040485,0.0005446989089250565,0.0009998176246881485,0.002052807481959462,0.0034264500718563795,4.077271461486816,4.147591590881348,4.227835178375244,4.3219780921936035,4.0079498291015625,3.9417076110839844,4.4858317375183105,4.390044212341309,3.963416337966919,4.458472728729248,4.94241189956665,4.634638786315918,5.00742244720459,4.549070358276367,4.903672218322754,5.080001354217529,4.861658573150635,5.2833685874938965,5.303707122802734,6.097987651824951,6.202009201049805,6.958000183105469,7.807058811187744,8.424152374267578,10.342209815979004,11.964670181274414,15.375945091247559,19.514978408813477,29.513164520263672,0.37559765577316284
4,0.0,0.00010609749733703211,0.00027784897247329354,0.0005383721436373889,0.0010441138874739408,0.002106255618855357,0.0035281849559396505,4.421353340148926,4.003832817077637,4.232430934906006,4.524405479431152,4.310050010681152,4.319488525390625,4.246957302093506,4.235395431518555,4.251496315002441,4.340971946716309,5.121293067932129,5.109132289886475,4.846002101898193,5.257880210876465,4.650705337524414,5.389357566833496,4.962301254272461,5.294743061065674,5.777046203613281,5.873956203460693,6.344230651855469,7.350854873657227,7.563787460327148,8.515625,11.046337127685547,12.90038776397705,16.275508880615234,21.974884033203125,36.23612594604492,0.5562778115272522
5,0.0,8.323866495629773e-05,0.00022417782747652382,0.00046207651030272245,0.0008794396999292076,0.0016100977081805468,0.0026657807175070047,4.223852634429932,4.072278022766113,4.06949520111084,4.1940178871154785,3.9267570972442627,4.022438049316406,4.309329986572266,4.138705730438232,3.951418161392212,4.328112602233887,4.958660125732422,4.8455376625061035,4.752491474151611,4.970058917999268,4.719675064086914,5.060685157775879,4.9705491065979,5.163893699645996,5.590548515319824,5.481663227081299,6.141808032989502,6.642693519592285,7.301201343536377,8.671001434326172,9.985645294189453,12.445483207702637,15.006645202636719,19.1351261138916,29.676374435424805,0.428239107131958
6,0.0,7.591400208184496e-05,0.00021523471514228731,0.0004591454053297639,0.0008260478498414159,0.001556041999720037,0.0025874644052237272,4.228826522827148,4.286998271942139,4.388403415679932,4.468794345855713,4.137606143951416,4.200387954711914,4.080320358276367,4.400406360626221,4.318171977996826,4.182408809661865,8.013654708862305,8.598779678344727,9.054505348205566,8.950607299804688,8.831782341003418,9.044734001159668,8.837172508239746,9.915279388427734,10.037035942077637,10.097137451171875,10.347012519836426,10.711565017700195,11.601698875427246,12.572321891784668,15.008703231811523,16.270492553710938,20.061187744140625,25.194698333740234,34.74190902709961,0.487894743680954
7,0.0,0.00010318680870113894,0.0002623674809001386,0.0005279097822494805,0.0009968336671590805,0.0020280664321035147,0.0034052589908242226,4.3301496505737305,4.210317134857178,4.100520610809326,4.1851019859313965,4.027366638183594,4.389403343200684,4.046651363372803,4.124480724334717,4.243506908416748,4.115437030792236,9.145691871643066,8.160929679870605,8.7593994140625,8.97711181640625,9.187816619873047,8.367420196533203,9.362988471984863,9.300971031188965,9.192611694335938,9.839278221130371,9.965412139892578,10.897564888000488,11.404825210571289,12.326904296875,14.610153198242188,17.432889938354492,21.626699447631836,27.453989028930664,39.963096618652344,0.5494730472564697
8,0.0,0.00011001279199263081,0.0003188789705745876,0.0006137979216873646,0.0011356699978932738,0.0022457248996943235,0.003754221135750413,4.065669536590576,4.413472652435303,4.466900825500488,4.072727203369141,4.143674373626709,4.401397705078125,3.796649217605591,4.4802374839782715,4.313352584838867,4.162951946258545,5.902380466461182,5.7979936599731445,5.961020469665527,6.381317615509033,6.3590989112854,5.865762233734131,5.8558783531188965,6.357931137084961,6.872274875640869,7.084085941314697,7.680775165557861,8.160585403442383,9.031207084655762,10.152227401733398,12.113836288452148,14.587272644042969,18.437265396118164,22.80656623840332,38.66953659057617,0.5348544120788574
9,0.0,9.666408732300624e-05,0.0002499480324331671,0.0005219761515036225,0.001001438358798623,0.0020398469641804695,0.00345023931004107,4.199617385864258,4.0268425941467285,4.414344787597656,3.829111099243164,4.294727802276611,4.382172107696533,4.155025005340576,4.153418064117432,4.451690673828125,4.249260425567627,5.029819488525391,5.15677547454834,4.901739597320557,5.0563507080078125,4.7837443351745605,4.740626811981201,5.080072402954102,5.483016490936279,5.752623558044434,5.761623382568359,5.964059829711914,6.903572082519531,7.68309211730957,8.444552421569824,9.769879341125488,12.228658676147461,16.01543617248535,21.343481063842773,32.0091552734375,0.41307148337364197
10,0.0,9.29139569052495e-05,0.0002458820235915482,0.0004968473804183304,0.0009395511006005108,0.001918771187774837,0.0033236334566026926,4.210085391998291,4.368872165679932,4.2664079666137695,4.644089221954346,4.27728271484375,4.186988353729248,4.318721771240234,4.411049842834473,4.4358744621276855,4.205414295196533,4.934035778045654,4.705958366394043,4.904333591461182,4.962978363037109,4.764104843139648,4.70111083984375,5.107312202453613,5.581710338592529,5.529722690582275,5.9126176834106445,6.203445911407471,6.73107385635376,7.763271808624268,9.028371810913086,10.202518463134766,11.97540283203125,15.976906776428223,19.730682373046875,28.91937255859375,0.36560195684432983
11,0.0,8.841899398248643e-05,0.0002546179457567632,0.0005261299083940685,0.0010236745001748204,0.0019626461435109377,0.003250684356316924,3.7640738487243652,3.9537770748138428,4.314465045928955,4.363664150238037,3.842463493347168,4.097021579742432,4.223154544830322,4.363193035125732,4.174266815185547,4.508423328399658,8.467629432678223,8.623536109924316,8.977452278137207,8.622697830200195,9.561806678771973,8.568846702575684,9.757139205932617,9.258369445800781,9.355896949768066,9.246822357177734,10.95041275024414,11.024139404296875,11.803028106689453,12.16747760772705,14.07290267944336,16.597614288330078,20.41883087158203,24.47234535217285,32.73902130126953,0.4102284610271454
